Post Message,Type,Posted,Impressions,Weather,Weekend
"Dont forget, our Spring Savings Event is going on now! #iamspecialized #patapscostatepark #littlebennett #schafferfarm #frederick #theshed #mtairymd #bikelife #bike #sale #spring",Photo,2016-03-03 03:13:12,1220.0,Snow,N
https://www.facebook.com/natalie.birner/posts/10208748562539675,SharedVideo,2016-03-03 06:05:04,165.0,Snow,N
"Got a new bike in the last year or so and looking for a nice upgrade? Specializes is having a spring sale, not only on bikes also components like this carbon wheels. Regular price $1200",Photo,2016-03-04 12:25:06,1398.0,Snow,Y
Just in! New HiVis Endura jerseys and riding shorts!  Come in and check out our spring stock #newgear #bikelove #patapscostatepark #mtb #roadbike #endura #bikelife #maryland #mtairymd,Photo,2016-03-04 13:16:22,1174.0,Snow,Y
Sale ends March 31,Photo,2016-03-04 14:19:07,1030.0,Snow,Y
Nice job by our friends at Jamis! https://m.facebook.com/story.php?story_fbid=10153454399657045&id=147827197044,Link,2016-03-05 06:31:05,236.0,Snow,Y
Congrats to Vijay for an awesome race overseas!,Photo,2016-03-06 04:25:59,300.0,Snow,Y
Timeline Photos,Photo,2016-03-09 03:22:42,1186.0,,N
You're better off...with an S-WORKS!!! Now offering Specialized S-Works bikes!!! #iamspecialized #patapscobike #littlebennett #maryland #mtairymd #bikelife #bikelove #bikeshop #frederick #theshed #cocanal #roadbike #sworks #bike #patapscostatepark,Photo,2016-03-09 13:36:36,1258.0,,N
If anyone is looking for a good eastern shore ride in May check out the Iron Furnace 50 on May 11th http://ironfurnacefifty.org/mobile/index.php,Link,2016-03-11 06:05:10,362.0,,Y
Great shop,Link,2016-03-14 18:32:36,219.0,Rain,N
Most liked photos win! Contest ends March 31st!,Photo,2016-03-15 14:00:47,1812.0,,N
http://www.massresort.com/v.php?pg=849,Link,2016-03-15 14:46:20,944.0,,N
Huge thanks to everyone who came out to help today!,Photo,2016-03-20 12:07:42,191.0,,Y
http://www.feedthehabit.com/mountain-biking/review-2016-niner-jet-9-rdo-4-star/,Link,2016-03-20 17:49:04,271.0,,Y
And to go along with this http://www.feedthehabit.com/mountain-biking/review-2016-niner-jet-9-rdo-4-star/ We have this!,Photo,2016-03-21 13:17:51,1131.0,,N
Don't forget!  Contest ends March 31st!!! Post your pictures on our wall and share with your friends to win,Photo,2016-03-24 07:21:00,2338.0,,N
Last days for the contest!!! Get you photo's up now to win!,Status,2016-03-30 11:14:09,116.0,,N
"Weather permitting, our first Saturday Road Ride will be this Saturday (4/2) at 8:30. The Saturday rides will leave the Patapsco Bicycles parking lot and wind through picturesque Howard County (sometimes Frederick County) for a total distance of between 20 - 25 miles. Ride paces will vary and we routinely have several different pace groups that form during the ride. Get your road bike ready and join the group this Saturday!",Status,2016-03-30 12:01:52,523.0,,N
Patapsco Gear Guys â€” So heres the latest gear review for Patapsco Gear...,Link,2016-04-01 06:05:42,792.0,Rain,Y
Congratulations Karen E. Good for having the bike that needed the most help...bring your bike on in and we will get you taken care of!,Status,2016-04-01 12:39:26,168.0,Rain,Y
Our first Saturday morning road ride has been cancelled due to the weather. See you next week!,Status,2016-04-02 03:56:04,178.0,Rain,Y
"Just a reminder,  we are now open on Sundays again from 9-2pm so come on in!",Status,2016-04-03 05:55:47,260.0,,Y
"Due to forcasted snow, wind, and cold temperatures, our Saturday morning road ride is cancelled this week. Hopefully we will get a ride in next week!",Status,2016-04-08 14:21:01,140.0,,Y
We are back open on Sunday's 9-2! Stop on in and check out what's new!   Follow our Instagram and Twitter too!  @patapscobike,Video,2016-04-09 09:31:39,851.0,Rain,Y
"Specialized spring savings event ends the 17th, come in now to save hundreds! !",Photo,2016-04-10 14:22:18,876.0,,Y
Sometimes you just have to stop and hug a friendly looking tree #patapscostatepark #mtblife #mtairymd #treehugger #smile #bikelove,Photo,2016-04-13 08:51:17,1769.0,,N
Sale ends 4/30/16 don't miss out!   Next day turn around on tune ups (unless parts need to be ordered),Photo,2016-04-15 06:06:34,650.0,,Y
The weather is finally cooperating. Join our Saturday road ride which leaves the shop at 8:30 a.m. Ride is approximately 22 miles.,Status,2016-04-15 14:54:41,212.0,,Y
Patapsco Bicycles's cover photo,Photo,2016-04-16 04:51:39,0.0,,Y
Awesome results out of West Virginia this weekend. Congrats to Patapsco Bike employee Nick Griesser on placing 6th out of 60 at the Big Bear Enduro aboard his sweet Pivot Cycles Mach 429 Trail. Way to kick of the season!,Photo,2016-04-19 04:56:33,1584.0,,N
"If the roads are dry, our Saturday morning road ride leaves Patapsco Bicycles at 8:30 tomorrow. Come join us!",Status,2016-04-22 10:39:04,165.0,Rain,Y
"It looks like the roads will be wet at 8:30, so we won't be riding today. See you next week.....hopefully!",Status,2016-04-23 04:53:42,117.0,Rain,Y
We had a great time last time so we are doing it again!  Come learn about your bike and how to keep it running smooth as well as a few cool tips and tricks for common problems. Oh and it's FREE!!!,Photo,2016-04-23 06:56:16,1136.0,Rain,Y
"Don't forget, tomorrow night from 6-7PM our FREE bike maintenance class!",Status,2016-04-26 03:12:31,137.0,,N
"We will be providing ride support this year, join us for a great ride for a great cause",Link,2016-04-27 07:10:19,1170.0,,N
Don't forget our FREE bike maintenance class tonight!!,Photo,2016-04-27 08:24:13,852.0,,N
A great class tonight thank you all for coming out!,Photo,2016-04-27 16:01:16,895.0,,N
"Our Saturday morning road ride leaves the shop at 8:30 tomorrow. Come join us, assuming the roads are dry!",Status,2016-04-29 15:22:05,154.0,,Y
BIG CONGRATULATIONS to one of our racers and customers Keith Seal for his win at cranky monkey today!,Photo,2016-04-30 12:46:30,1422.0,Rain,Y
Come in now and have your bike running smooth for when the rain stops  #bikelove #shoplife #tuneup #fixit #mtblife #roadbike #mtairymd #maryland #rain,Photo,2016-05-02 07:09:49,771.0,Rain,N
Sale going on now! #iamspecialized #bogo #sale #road #tires #maryland #mtairymd #roadbike #shoplife #shop,Photo,2016-05-03 14:47:55,725.0,Rain,N
Our new jerseys are in! ! !,Photo,2016-05-04 04:19:37,1093.0,Rain,N
#safety #likeandshare #may #BikeMonth #mtairymd #maryland #sale #spring #bike #mtb #roadbike,Photo,2016-05-06 13:07:40,724.0,Rain,Y
"Due to the weather, we will (again) not be riding tomorrow morning. Keep your fingers crossed for drier weather in the days to come.",Status,2016-05-06 16:46:06,146.0,Rain,Y
"Did you know your helmet should be replaced after 3 years? Did you know the number 1 reason stated after a car-bike accident is ""I didn't see them"" lights on the front and rear of the bike will greatly increase your visibility during the day and reduce the risk.",Photo,2016-05-07 05:37:18,879.0,Rain,Y
Don't forget we have two great sales going on right now! #likeandshare #sale #bikelife #newgear #bike #bikeshop #roadbike #mtairymd #maryland #sworks #mtb #patapscostatepark,Photo,2016-05-09 07:44:40,881.0,Rain,N
Timeline Photos,Photo,2016-05-11 11:35:09,2227.0,Rain,N
"It sounds like we might get lucky.....our Saturday morning road ride will leave the shop at 8:30 tomorrow morning, as long as the roads are dry. Come join us!",Status,2016-05-13 16:48:50,129.0,Rain,Y
"One of our customers Korey, with an awesome 4th place at the Enduro at coopers rock! Congrats Korey!",Photo,2016-05-17 06:44:29,819.0,Rain,N
Timeline Photos,Photo,2016-05-18 05:33:31,1277.0,Rain,N
Timeline Photos,Photo,2016-05-18 15:38:56,515.0,Rain,N
Stumpjumper FSR 6FATTIE  Now in stock! ! !  #fatties #iamspecialized #bike #mtb #likeandshare,Photo,2016-05-20 13:48:48,747.0,Rain,Y
Just a reminder we will be closing at 12pm today for a wedding!  We will be open Sunday as usual.  Sorry for any inconvenience and thank you for understanding,Photo,2016-05-21 03:39:14,700.0,Rain,Y
Congrats to Donald and Amber.,Photo,2016-05-21 11:22:44,1879.0,Rain,Y
Congratulations to our own Donald and Amber!,Photo,2016-05-21 14:46:35,975.0,Rain,Y
This weekend SAVE BIG!!!  Like and share and SAVE #sale #mtairymd #maryland #likeandshare,Photo,2016-05-25 10:54:37,822.0,,N
Some of the crew was able to make it out to the Milkhouse Brewery at Stillpoint Farm run this evening! What a great weekly event!,Photo,2016-05-26 16:29:35,715.0,,N
"Don't forget, our Memorial Day sale starts today!",Photo,2016-05-27 05:36:26,950.0,,Y
The new Pivot Cycles switchblade! A sweet bike for any enduro or long travel lovers!,SharedVideo,2016-05-27 06:15:15,86.0,,Y
"A recent build we have been helping out with for some time now! Thanks, again for stopping by!",Photo,2016-05-27 15:13:42,473.0,,Y
Get this Memorial Day weekend off to a good start and join our Saturday road ride. We leave the shop at 8:30!,Status,2016-05-27 15:15:29,92.0,,Y
Timeline Photos,Photo,2016-05-29 07:53:24,854.0,Rain,Y
Free Bike Maintenance Class,Status,2016-06-02 06:11:52,0.0,Rain,N
Our Saturday morning road ride leaves the shop at 8:30. Come join us!,Status,2016-06-03 10:08:09,61.0,Rain,Y
Accessories and nutrition can make or break a ride. Make sure you stock up and have all the right gear to keep every ride great!,Photo,2016-06-04 09:04:00,673.0,,Y
"The New 6Fattie from specialized is a great valued bike that is awesome for Patapsco, Little Bennet, and Gambrils. Stop by to take a look!",Photo,2016-06-05 09:00:00,780.0,Rain,Y
Riding Hawaii's kaua'i island.     https://youtu.be/7dcA6RwGjRA,Link,2016-06-05 22:24:59,1018.0,Rain,Y
Timeline Photos,Photo,2016-06-06 14:34:31,1190.0,,N
Trying to stay safe on the road? Come check out our safety and high visibility gear!,Photo,2016-06-08 12:00:00,570.0,,N
The New 429 Trail is a Rocket in the woods. Check out our pivot selection and see for yourself!,Photo,2016-06-09 11:30:00,414.0,,N
Our mountain bike experience is unmatched! come on in to learn all about trail riding and new gear!,Photo,2016-06-10 10:00:01,533.0,,Y
Please note the new time for our Saturday morning road ride. The ride leaves Patapsco Bicycles at 8:00 am tomorrow. Come join us!,Status,2016-06-10 14:23:16,132.0,,Y
Weather should be perfect for our Saturday road ride. Ride leaves the shop at 8:00 am. Come join us!,Status,2016-06-17 15:10:39,117.0,Rain,Y
Some great photos from today's ride!,Photo,2016-06-18 10:41:37,607.0,,Y
Patapsco Bicycles,Photo,2016-06-18 12:38:24,9.0,,Y
Patapsco Bicycles's cover photo,Photo,2016-06-18 12:38:41,131.0,,Y
Start off the first day of summer with a hot deal! https://www.instagram.com/p/BG28F7Gwb3Z/,Link,2016-06-20 09:28:07,1486.0,,N
Many thanks to Jim Corey for the great photos from our Saturday morning group ride. Anyone looking for photography services would do well reaching out to him.,Status,2016-06-21 13:04:13,117.0,Rain,N
The SRAM eTap Group is so hot we had to open up the box to let it cool down! Electronic wireless shifting for road bikes is here!,Photo,2016-06-22 10:29:00,474.0,,N
Patapsco Bicycles shared their photo.,Photo,2016-06-22 17:44:13,48.0,,N
"Our selection of gravel and road bikes are great for everyone! The new Specialized Bicycles Diverge, as well as the Jamis Bikes Renegade, both come in with different part kits to suit all types of riders.",Photo,2016-06-24 10:15:00,504.0,,Y
"Join our Saturday morning road ride which leaves the shop tomorrow at 8:00 am. Despite the tornado earlier this week, the Howard County course is clear.",Status,2016-06-24 16:10:02,148.0,,Y
Enjoying this great weather at the Promise ride in Edgewater! https://promiseride.komenmd.org,Photo,2016-06-25 02:58:03,258.0,,Y
And the 60 milers are off!,Photo,2016-06-25 04:32:21,603.0,,Y
"Service is our specialty, bring your bike in for a tune-up to have it ready for summer riding! We have some great turn around times as well!",Photo,2016-06-25 10:21:01,473.0,,Y
It's getting hot outside! Stop in to check out our selection of Jerseys and shorts to keep you cool!,Photo,2016-06-26 10:22:01,580.0,,Y
Sale starts Friday!!!,Video,2016-06-28 14:21:59,653.0,Rain,N
Getting more serious about riding? We offer several shoe brands to help get you started into clipless pedals. Come check out our selection!,Photo,2016-06-29 10:25:00,399.0,,N
Everything is on SALE!,Video,2016-06-30 05:29:45,379.0,,N
Don't forget our 4th of July  SALE starts today!,Video,2016-07-01 09:31:11,303.0,,Y
"Stay hydrated in the heat! We have waterbottles, Osprey, and CamelBak Hydration packs in stock!",Photo,2016-07-01 10:30:00,93.0,,Y
Get your July 4th holiday weekend started with a bang - join our Saturday morning road ride! Ride leaves the shop at 8:00.,Status,2016-07-01 14:51:56,50.0,,Y
"Be safe by staying visible while you are on the road, with our lights and high visibility jerseys!",Photo,2016-07-02 10:33:01,341.0,,Y
Timeline Photos,Photo,2016-07-03 09:18:19,411.0,,Y
"We have a great selection of entry level Mountain bikes from Jamis, Specialized, Niner, and Pivot!",Photo,2016-07-05 10:35:00,456.0,Rain,N
Our Saturday morning road ride leaves the shop at 8:00! Come join us.,Status,2016-07-08 15:15:18,69.0,Rain,Y
Gear up for adventurous rides with our 40% Off on Clothing!,Photo,2016-07-14 09:42:20,1515.0,Thunder,N
"Some of our employees took an awesome trip down south to ride Pisgah, Dupont and George Washington National Forests, and had a blast. If you're looking for an awesome place to ride, these spots will not disappoint. Pivot Cycles Kali Protectives",Photo,2016-07-14 15:43:05,291.0,Thunder,N
Our Saturday morning road ride leaves the shop at 8:00 am. Come join us!!,Status,2016-07-15 14:51:38,89.0,,Y
Grab your coolest riding gear and plenty of water and join our Saturday road ride. Ride leaves the shop at 8:00 am!,Status,2016-07-22 15:29:57,156.0,,Y
,,,,,
